Start,Finish,Steps (count)
23-Sep-2015 00:00,24-Sep-2015 00:00,9240.0
24-Sep-2015 00:00,25-Sep-2015 00:00,8720.0
25-Sep-2015 00:00,26-Sep-2015 00:00,8043.0
26-Sep-2015 00:00,27-Sep-2015 00:00,2563.0
27-Sep-2015 00:00,28-Sep-2015 00:00,979.0
28-Sep-2015 00:00,29-Sep-2015 00:00,8618.0
29-Sep-2015 00:00,30-Sep-2015 00:00,7950.0
30-Sep-2015 00:00,01-Oct-2015 00:00,4541.0
01-Oct-2015 00:00,02-Oct-2015 00:00,9862.0
02-Oct-2015 00:00,03-Oct-2015 00:00,5413.0
03-Oct-2015 00:00,04-Oct-2015 00:00,2036.0
04-Oct-2015 00:00,05-Oct-2015 00:00,3548.0
05-Oct-2015 00:00,06-Oct-2015 00:00,9783.0
06-Oct-2015 00:00,07-Oct-2015 00:00,5370.0
07-Oct-2015 00:00,08-Oct-2015 00:00,9356.0
08-Oct-2015 00:00,09-Oct-2015 00:00,3715.0
09-Oct-2015 00:00,10-Oct-2015 00:00,8781.0
10-Oct-2015 00:00,11-Oct-2015 00:00,3210.0
11-Oct-2015 00:00,12-Oct-2015 00:00,2855.0
12-Oct-2015 00:00,13-Oct-2015 00:00,6826.0
13-Oct-2015 00:00,14-Oct-2015 00:00,10846.0
14-Oct-2015 00:00,15-Oct-2015 00:00,2747.0
15-Oct-2015 00:00,16-Oct-2015 00:00,8901.0
16-Oct-2015 00:00,17-Oct-2015 00:00,3451.0
17-Oct-2015 00:00,18-Oct-2015 00:00,4280.0
18-Oct-2015 00:00,19-Oct-2015 00:00,5980.0
19-Oct-2015 00:00,20-Oct-2015 00:00,4779.0
20-Oct-2015 00:00,21-Oct-2015 00:00,3766.0
21-Oct-2015 00:00,22-Oct-2015 00:00,3525.0
22-Oct-2015 00:00,23-Oct-2015 00:00,8611.0
23-Oct-2015 00:00,24-Oct-2015 00:00,751.0
24-Oct-2015 00:00,25-Oct-2015 00:00,4421.0
25-Oct-2015 00:00,26-Oct-2015 00:00,2893.0
26-Oct-2015 00:00,27-Oct-2015 00:00,2899.0
27-Oct-2015 00:00,28-Oct-2015 00:00,7084.0
28-Oct-2015 00:00,29-Oct-2015 00:00,7196.0
29-Oct-2015 00:00,30-Oct-2015 00:00,5635.0
30-Oct-2015 00:00,31-Oct-2015 00:00,7094.0
31-Oct-2015 00:00,01-Nov-2015 00:00,5029.0
01-Nov-2015 00:00,02-Nov-2015 00:00,1232.0
02-Nov-2015 00:00,03-Nov-2015 00:00,2983.0
03-Nov-2015 00:00,04-Nov-2015 00:00,8486.0
04-Nov-2015 00:00,05-Nov-2015 00:00,7976.0
05-Nov-2015 00:00,06-Nov-2015 00:00,6743.0
06-Nov-2015 00:00,07-Nov-2015 00:00,3196.0
07-Nov-2015 00:00,08-Nov-2015 00:00,589.0
08-Nov-2015 00:00,09-Nov-2015 00:00,2190.0
09-Nov-2015 00:00,10-Nov-2015 00:00,2418.0
10-Nov-2015 00:00,11-Nov-2015 00:00,6730.0
11-Nov-2015 00:00,12-Nov-2015 00:00,8542.0
12-Nov-2015 00:00,13-Nov-2015 00:00,7364.0
13-Nov-2015 00:00,14-Nov-2015 00:00,5779.0
14-Nov-2015 00:00,15-Nov-2015 00:00,530.0
15-Nov-2015 00:00,16-Nov-2015 00:00,2791.0
16-Nov-2015 00:00,17-Nov-2015 00:00,3366.0
17-Nov-2015 00:00,18-Nov-2015 00:00,6922.0
18-Nov-2015 00:00,19-Nov-2015 00:00,9158.0
19-Nov-2015 00:00,20-Nov-2015 00:00,5156.0
20-Nov-2015 00:00,21-Nov-2015 00:00,7056.0
21-Nov-2015 00:00,22-Nov-2015 00:00,227.0
22-Nov-2015 00:00,23-Nov-2015 00:00,2496.0
23-Nov-2015 00:00,24-Nov-2015 00:00,5387.0
24-Nov-2015 00:00,25-Nov-2015 00:00,7897.0
